0,1,2,3,4
d,FBgn0262029,2L,8466817,8488671
CG32532,FBgn0052532,X,19531851,19547482
CG3156,FBgn0023536,X,487878,490725
mRpL30,FBgn0029718,X,4647871,4648646
CG1631,FBgn0031101,X,20327444,20328680
CG12609,FBgn0030952,X,18746367,18748306
zyd,FBgn0265767,X,23022898,23035550
CG9941,FBgn0030514,X,13718734,13721977
unc,FBgn0003950,X,21111414,21116914
p120ctn,FBgn0260799,2R,4595288,4609492
CG9572,FBgn0031089,X,20148124,20155514
sno,FBgn0265630,X,13195499,13211674
CG44774,FBgn0266000,X,4926664,4938105
e(y)2b,FBgn0040670,3R,7093935,7094727
CG33919,FBgn0053919,2R,6623832,6624577
Rep,FBgn0026378,2R,19492087,19494125
Hrd3,FBgn0028475,3R,23754623,23758557
CG43789,FBgn0264330,2R,16938696,16938995
CG30060,FBgn0265272,2R,13422978,13423647
CG1603,FBgn0033185,2R,7513846,7516390
rad201,FBgn0260438,2R,7513846,7516390
cn,FBgn0000337,2R,7782797,7785067
CG8152,FBgn0034008,2R,15309931,15311134
CG44303,FBgn0265362,X,6686963,6687420
CG7194,FBgn0035868,3L,8302364,8304059
CG42660,FBgn0261536,3L,7465509,7468808
CG9686,FBgn0030158,X,9879870,9880535
CG42661,FBgn0261537,3L,7465509,7468808
CG43774,FBgn0264296,2L,4008653,4009090
CG43776,FBgn0264298,2R,24123167,24126630
CG13526,FBgn0034774,2R,22755219,22755896
beat-VI,FBgn0039584,3R,28418208,28474814
CG33993,FBgn0053993,3L,5933036,5950658
CG12942,FBgn0033569,2R,10894459,10897222
CG43779,FBgn0264301,2L,13305920,13306755
Wdr82,FBgn0032030,2L,8374461,8375549
CG43780,FBgn0264302,3L,7333544,7335226
CG11112,FBgn0033164,2R,7400743,7401482
Octbeta2R,FBgn0038063,3R,12550625,12595725
Neb-cGP,FBgn0083167,X,10460736,10461878
BG01402,FBgn0264306,X,10460736,10461878
MESK2,FBgn0043070,2R,21502097,21517241
Nc73EF,FBgn0010352,3L,16954822,16968724
Mec2,FBgn0030993,X,19188035,19190193
CG13579,FBgn0035010,2R,24455292,24490656
CG31515,FBgn0051515,3R,23388373,23388898
Ate1,FBgn0025720,2R,20254966,20257390
CG10051,FBgn0034437,2R,19363641,19367294
Evi5,FBgn0262740,X,11430523,11454386
Adar,FBgn0026086,X,1773725,1788065
CG11951,FBgn0039656,3R,29235322,29238723
Trim9,FBgn0051721,2L,10544883,10628054
CG34155,FBgn0083991,3R,30554554,30560199
CG1124,FBgn0037290,3R,4965445,4968485
CG6891,FBgn0030955,X,18775228,18781345
qin,FBgn0263974,3R,18591027,18650137
CG5131,FBgn0032644,2L,17484501,17485624
CG3294,FBgn0031628,2L,4794549,4796581
CG15754,FBgn0030492,X,13528006,13529280
CG30491,FBgn0050491,2R,7655072,7656770
CG30461,FBgn0050461,2R,16995991,16998594
CG42725,FBgn0261670,2R,16995991,16998594
tj,FBgn0000964,2L,19464267,19467758
RpL8,FBgn0261602,3L,2587456,2588883
CG43740,FBgn0263997,X,10333652,10347794
CG12347,FBgn0038558,3R,17906445,17907451
CG12498,FBgn0040356,X,2809881,2810846
Cpr78Cc,FBgn0037069,3L,21300580,21301171
CG40813,FBgn0085521,X,22143102,22143816
CG4928,FBgn0027556,X,16913180,16938209
CG42613,FBgn0261262,3R,18929196,18978088
CG33269,FBgn0053269,3L,11581415,11582197
CG7963,FBgn0037584,3R,8362826,8363894
BTBD9,FBgn0030228,X,10768537,10772154
CG10232,FBgn0039108,3R,23719343,23721625
gd,FBgn0000808,X,11985154,11987764
CG1416,FBgn0032961,2L,21758010,21761000
CG31954,FBgn0051954,2L,3509058,3510102
CG3788,FBgn0034800,2R,22932035,22934077
drl,FBgn0015380,2L,19190342,19208621
wb,FBgn0261563,2L,14263027,14328262
CG10485,FBgn0261515,2L,14263027,14328262
CG4866,FBgn0034232,2R,17518223,17519027
CG10026,FBgn0032785,2L,19454256,19457723
frj,FBgn0031815,2L,6456052,6459008
CG13096,FBgn0032050,2L,8509069,8511866
Elba2,FBgn0031435,2L,2577687,2579179
CG42502,FBgn0260228,2L,18808694,18811252
snoRNA:Me28S-C3420a,FBgn0083988,2R,12199662,12199752
MED18,FBgn0026873,X,1865909,1866887
CG13996,FBgn0031763,2L,6020835,6021718
NetB,FBgn0015774,X,14686038,14749376
CG30082,FBgn0050082,2R,15685004,15686082
Sb,FBgn0003319,3R,16116161,16145284
EP3-934,FBgn0260806,3R,16116161,16145284
CG12520,FBgn0036324,3L,12901247,12902737
Sdic,FBgn0261516,3L,12901247,12902737
CG15270,FBgn0028879,2L,15074776,15096915
snoRNA:Me28S-C3420b,FBgn0083989,2R,12199183,12199273
CG3611,FBgn0035069,2R,24798798,24800776
CG42714,FBgn0261631,3L,6233491,6234056
klar,FBgn0001316,3L,434083,540614
Obp83b,FBgn0010403,3R,5976177,5976817
Drat,FBgn0033188,2R,7526118,7532981
CG11581,FBgn0030540,X,14176923,14178456
sax,FBgn0003317,2R,7806484,7810067
Grip98,FBgn0260740,2R,7806484,7810067
l(2)k08617,FBgn0261518,2R,7806484,7810067
CG34222,FBgn0250822,2R,10319844,10320500
B1022,FBgn0259648,2R,10319844,10320500
CG8343,FBgn0040502,2R,6179726,6180356
Rpi,FBgn0050410,2R,23355183,23356441
CG13625,FBgn0039210,3R,24583067,24585160
pre-lola-G,FBgn0264817,2R,10481894,10485252
RhoGEF2,FBgn0023172,2R,17027190,17044653
Patronin,FBgn0263197,2R,17519024,17535866
CG12128,FBgn0033473,2R,10026839,10030668
Urod,FBgn0033428,2R,9584643,9586126
did,FBgn0261519,2R,9584643,9586126
Sirup,FBgn0031971,2L,7998869,7999676
CG16825,FBgn0032503,2L,13304788,13307807
velo,FBgn0035713,3L,6744426,6752752
Cp1,FBgn0013770,2R,13960675,13967981
Ilp1,FBgn0044051,3L,9798420,9799050
CG31904,FBgn0260479,2L,7734415,7738809
Ppt1,FBgn0030057,X,8688627,8690227
Gale,FBgn0035147,3L,648555,651311
CG45122,FBgn0266615,3R,13044157,13044529
mir-5,FBgn0262408,2R,19661158,19661226
mir-2489,FBgn0262194,2L,13609974,13610068
Ser7,FBgn0019929,X,9865233,9867070
Taf1,FBgn0010355,3R,6646889,6656048
mir-995,FBgn0262185,3R,20735923,20736012
mir-277,FBgn0262419,3R,10100022,10100121
Hr83,FBgn0037436,3R,6349243,6350512
CG6073,FBgn0039417,3R,26187018,26188807
CG32716,FBgn0261520,3R,26187018,26188807
stich1,FBgn0261521,3R,26187018,26188807
CG45100,FBgn0266539,3R,5472810,5474600
mir-7,FBgn0262370,2R,20606067,20606154
cd,FBgn0263986,3R,22694959,22697990
Dlish,FBgn0034264,2R,17723309,17725056
B1365,FBgn0259649,2R,17723309,17725056
sls,FBgn0086906,3L,2039681,2115611
Shawn,FBgn0031039,X,19611526,19615617
CG11670,FBgn0038114,3R,13042050,13044086
l(3)CHh,FBgn0086424,3R,13042050,13044086
AttC,FBgn0041579,2R,13393705,13394667
Phlpp,FBgn0032749,2L,19059129,19063132
phyl,FBgn0013725,2R,14427336,14432337
CG44013,FBgn0264775,3R,15508896,15509917
CG12184,FBgn0025387,X,4627380,4630936
CG41071,FBgn0069952,X,4627380,4630936
cu,FBgn0261808,3R,11197592,11208633
2L2983,FBgn0260619,3R,11197592,11208633
CG12688,FBgn0029707,X,4380758,4382466
CG12702,FBgn0031070,X,19759173,19764874
B1521,FBgn0259650,X,19759173,19764874
porin,FBgn0004363,2L,10847227,10850848
mir-137,FBgn0262446,2R,16065254,16065344
mir-288,FBgn0262425,2L,20618366,20618462
mir-1011,FBgn0262422,3R,20853305,20853358
mir-967,FBgn0262203,2L,12460004,12460100
mir-2282,FBgn0262260,3L,3412145,3412251
mir-1008,FBgn0262412,2R,10885533,10885589
mir-1009,FBgn0262435,2R,23993054,23993114
CG12256,FBgn0038002,3R,12225282,12226339
CG4293,FBgn0024983,X,527941,530291
mir-287,FBgn0262400,2L,17574610,17574702
